Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R1_001 - nextera_transposase_sequence	0.0	0.0	2.022356912990278e-05	2.4268282955883335e-05	2.8312996781863893e-05	2.8312996781863893e-05	3.6402424433825e-05	3.6402424433825e-05	9.302841799755278e-05	0.0001439918122049078	0.0002564348565671672	0.0006787029799995372	0.00392741712502712	0.027640765343985924	0.07751613153215216	0.12357086104029716	0.19864964802091345	0.2516637121380406	0.3280028319468324	0.38509963019990434	0.46784476776628414	0.5323975914861686	0.6224393927946175	0.6939952340328046	0.7931797064734998	0.8752040760360899	0.9840635039485306	1.081082436606796	1.2030491641437089	1.3199996375936411	1.4582544277077782	1.5996042328415556	1.759030673006405	1.9320303638284801	2.118661549186875	2.253597247135412
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R2_001 - nextera_transposase_sequence	0.0	1.2134141477941668e-05	1.6178855303922224e-05	3.235771060784445e-05	5.2581279737747225e-05	5.6625993563727786e-05	6.067070738970834e-05	6.47154212156889e-05	0.00011729670095343612	0.00016826009516079113	0.00032681287713922887	0.0008752760719421924	0.004535742084454596	0.02907825663773942	0.07993729722838412	0.126977319024538	0.20328165429442638	0.25746625859279226	0.33526956480658904	0.394226931419612	0.47901707629640755	0.5455380577640143	0.6378473256433077	0.711948909763567	0.8137066291403512	0.8986440016004125	1.0105507169093468	1.1103022582284445	1.2351277894975605	1.354836757776812	1.4963192295240813	1.6409945983655796	1.8033162446870663	1.9797321008065647	2.1692940858032648	2.3057538319214315
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R1_001 - nextera_transposase_sequence	0.0	0.0	4.264029927008762e-06	8.528059854017523e-06	1.2792089781026286e-05	1.2792089781026286e-05	2.5584179562052572e-05	2.5584179562052572e-05	5.969641897812267e-05	0.0001125703900730313	0.00023878567591249068	0.0006438685189783231	0.004157429178833543	0.0276394419868708	0.07449260282484307	0.11865004394296041	0.18811876670780175	0.23924533833862222	0.3108341367831723	0.3666562581696149	0.4449421420175249	0.507851081142656	0.5959220608670658	0.667969668931762	0.7680899444239131	0.8558479443516804	0.9722073514178519	1.0764654415511723	1.2113878765015835	1.3415763854270295	1.502304729495698	1.6684628892734188	1.8613710143952371	2.070600993271659	2.303642168066484	2.4707964052351543
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R2_001 - nextera_transposase_sequence	0.0	4.264029927008762e-06	8.528059854017523e-06	1.7056119708035047e-05	1.7056119708035047e-05	1.7056119708035047e-05	1.7056119708035047e-05	2.5584179562052572e-05	4.264029927008762e-05	0.00011598161401463834	0.0002899540350365958	0.0008348970597083156	0.004800444891826464	0.028951057592418693	0.07661267850455183	0.12186000567201263	0.19262584634065	0.24498301700840522	0.3181904412132478	0.3757429059440705	0.4562597302497916	0.521071279528354	0.6111608510202097	0.6855246801412571	0.7878980690468397	0.8784208659792794	0.9977642411883716	1.1052706693200873	1.243032095395901	1.375948730668647	1.5397770244942508	1.7094734763054038	1.905907954176858	2.1185448929649597	2.3547158657262095	2.5237684490183843
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R1_001 - nextera_transposase_sequence	0.0	1.2902641996585789e-05	1.7203522662114385e-05	3.0106164658700174e-05	3.0106164658700174e-05	3.0106164658700174e-05	4.300880665528596e-05	4.300880665528596e-05	8.601761331057192e-05	0.0001333273006313865	0.00027611653872693586	0.00074147182673713	0.004866016384979054	0.034408765676494986	0.0931579353914825	0.1492310971563781	0.2356177260280524	0.2994926853202169	0.38820437027967597	0.4576051010509117	0.5546097441096428	0.6319378581235808	0.7395157862104476	0.8268486088285382	0.9444647923887487	1.0440585656081283	1.1762280691643545	1.2938502739574969	1.4451707389411887	1.588091583985103	1.759858435652718	1.936070677576223	2.1368805162020195	2.3529163325599205	2.586988322076782	2.755789286437448
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R2_001 - nextera_transposase_sequence	0.0	0.0	8.601761331057192e-06	1.7203522662114385e-05	2.150440332764298e-05	2.150440332764298e-05	3.0106164658700174e-05	3.8707925989757366e-05	7.311497131398614e-05	0.00012472553930032928	0.00029590058978836743	0.0009470539225493969	0.005761459739542107	0.03641383624276441	0.09722828885333876	0.1556609137513434	0.24504095556622557	0.3116228891492738	0.4037253884254355	0.4768438004439541	0.578369529258289	0.6603529165045952	0.7731693172420757	0.8657586762095754	0.9891268575718637	1.094657566461939	1.233757509122598	1.3578396366753642	1.5162892414502362	1.66650782080742	1.8465813933924367	2.032243530314241	2.242774219420265	2.4689910804896056	2.713734415113776	2.8900885860992442
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R1_001 - nextera_transposase_sequence	0.0	0.0	8.050174807533402e-06	1.2075262211300103e-05	1.2075262211300103e-05	1.2075262211300103e-05	2.8175611826366907e-05	2.8175611826366907e-05	8.050174807533401e-05	0.00011914258715149434	0.00028417117070592905	0.0006915100159671191	0.00464173079402376	0.030966607432138738	0.08154263567794809	0.13066077726611314	0.2072026443536215	0.2641133551554789	0.34253493806054625	0.40491332759168036	0.4922247185367068	0.5624576636275513	0.6611954726943907	0.7427880194561455	0.8542628151034644	0.9496678517999848	1.0776237703307667	1.1952247490066186	1.3462420033085412	1.492387291816945	1.6708073411637117	1.8569764887802098	2.075273079036093	2.3123515321354327	2.5741778326280906	2.76319030198661
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R2_001 - nextera_transposase_sequence	0.0	0.0	2.8175611826366907e-05	4.0250874037667006e-05	4.427596144143371e-05	4.427596144143371e-05	4.830104884520041e-05	5.6351223652733814e-05	7.647666067156732e-05	0.00013363290180505447	0.0003324722195511295	0.0009177199280588078	0.005313920390452799	0.03242046900237927	0.08387799138961352	0.13422700470585042	0.21220019287413822	0.270901262553191	0.35107536851385845	0.41546308167695284	0.5050824577392992	0.5776290230698287	0.6787561240195441	0.7629915431706122	0.8769465976761319	0.9753221488766324	1.1059644107406883	1.226495653046482	1.3802209861536592	1.529616130231864	1.7112280738898176	1.900370151062738	2.1215293834801803	2.360822439669072	2.624852073006552	2.815121979670008
18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R1_001 - nextera_transposase_sequence	0.0	4.01404304932721e-06	8.02808609865442e-06	1.605617219730884e-05	1.605617219730884e-05	2.0070215246636052e-05	3.211234439461768e-05	3.6126387443944894e-05	5.619660269058094e-05	6.342188017936993e-05	0.00018785721470851343	0.0006928238303138765	0.004894724094349601	0.029541751225828538	0.07505457693632019	0.12130116971622881	0.18907989222133853	0.24237755302169534	0.3135015790041143	0.37031473870707193	0.4470768895565759	0.5086322397180087	0.5915872561840146	0.6589348704656266	0.7482095963084934	0.8231798783407778	0.9194069267450791	1.0060917920125199	1.1103605742618436	1.2095210853265934	1.3247763034019255	1.4418209818686478	1.5705320750539347	1.7098354250377858	1.8594612881272876	1.9663151141003778
