protein1,protein2,combined_score
7668.SPU_003849-tr,7668.SPU_020745-tr,999
7668.SPU_003849-tr,7668.SPU_013452-tr,999
7668.SPU_003849-tr,7668.SPU_016200-tr,999
7668.SPU_003849-tr,7668.SPU_019788-tr,999
7668.SPU_003849-tr,7668.SPU_006034-tr,999
7668.SPU_003849-tr,7668.SPU_014074-tr,999
7668.SPU_003849-tr,7668.SPU_018884-tr,999
7668.SPU_003849-tr,7668.SPU_005699-tr,999
7668.SPU_003849-tr,7668.SPU_002606-tr,999
7668.SPU_003905-tr,7668.SPU_020627-tr,999
7668.SPU_003905-tr,7668.SPU_017132-tr,999
7668.SPU_003905-tr,7668.SPU_015276-tr,999
7668.SPU_003905-tr,7668.SPU_021924-tr,999
7668.SPU_003905-tr,7668.SPU_022957-tr,999
7668.SPU_003905-tr,7668.SPU_026541-tr,999
7668.SPU_003905-tr,7668.SPU_003849-tr,999
7668.SPU_003905-tr,7668.SPU_005280-tr,999
7668.SPU_003905-tr,7668.SPU_011075-tr,999
7668.SPU_003905-tr,7668.SPU_019788-tr,999
7668.SPU_003905-tr,7668.SPU_006034-tr,999
7668.SPU_003905-tr,7668.SPU_008211-tr,999
7668.SPU_003905-tr,7668.SPU_010528-tr,999
7668.SPU_003905-tr,7668.SPU_004609-tr,999
7668.SPU_003905-tr,7668.SPU_015294-tr,999
7668.SPU_004131-tr,7668.SPU_019685-tr,999
7668.SPU_004518-tr,7668.SPU_010530-tr,999
7668.SPU_004609-tr,7668.SPU_006213-tr,999
7668.SPU_004609-tr,7668.SPU_008778-tr,999
7668.SPU_004609-tr,7668.SPU_021739-tr,999
7668.SPU_004609-tr,7668.SPU_021924-tr,999
7668.SPU_004609-tr,7668.SPU_022957-tr,999
7668.SPU_004609-tr,7668.SPU_026541-tr,999
7668.SPU_004609-tr,7668.SPU_003849-tr,999
7668.SPU_004609-tr,7668.SPU_008558-tr,999
7668.SPU_004609-tr,7668.SPU_016200-tr,999
